size,signal_type,iteration,vector_size,vFFT_mean_err,vFFT_max_err,vFFT_std_err,nFFT_mean_err,nFFT_max_err,nFFT_std_err,vIFFT_mean_err,vIFFT_max_err,vIFFT_std_err,nIFFT_mean_err,nIFFT_max_err,nIFFT_std_err,vFFT_mean_norm_err,nFFT_mean_norm_err,vIFFT_mean_norm_err,nIFFT_mean_norm_err
2,random,0,16,0.0,0.0,0.0,0.0,0.0,0.0,6.1035156e-05,6.1035156e-05,0.0,6.1035156e-05,6.1035156e-05,0.0,0.0,0.0,4.880806e-08,4.880806e-08
2,random,1,16,0.0,0.0,0.0,0.0,0.0,0.0,4.3158372e-05,8.6316744e-05,4.3158372e-05,4.3158372e-05,8.6316744e-05,4.3158372e-05,0.0,0.0,3.4889382e-08,3.4889382e-08
2,random,2,16,0.0,0.0,0.0,0.0,0.0,0.0,7.8642e-06,1.57284e-05,7.8642e-06,7.8642e-06,1.57284e-05,7.8642e-06,0.0,0.0,3.2829337e-08,3.2829337e-08
2,random,3,16,0.0,0.0,0.0,0.0,0.0,0.0,1.5258789e-05,3.0517578e-05,1.5258789e-05,1.5258789e-05,3.0517578e-05,1.5258789e-05,0.0,0.0,2.284044e-08,2.284044e-08
2,random,4,16,0.0,0.0,0.0,0.0,0.0,0.0,1.9073486e-05,3.0517578e-05,1.1444092e-05,1.9073486e-05,3.0517578e-05,1.1444092e-05,0.0,0.0,3.4636845e-08,3.4636845e-08
2,sine,0,16,0.0,0.0,0.0,0.0,0.0,0.0,1.9073486e-05,2.2888184e-05,3.8146973e-06,1.9073486e-05,2.2888184e-05,3.8146973e-06,0.0,0.0,2.1026237e-08,2.1026237e-08
2,sine,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,sine,2,16,0.0,0.0,0.0,0.0,0.0,0.0,1.7166138e-05,3.0517578e-05,1.335144e-05,1.7166138e-05,3.0517578e-05,1.335144e-05,0.0,0.0,2.6367243e-08,2.6367243e-08
2,sine,3,16,0.0,0.0,0.0,0.0,0.0,0.0,3.4332275e-05,6.1035156e-05,2.670288e-05,3.4332275e-05,6.1035156e-05,2.670288e-05,0.0,0.0,3.2005197e-08,3.2005197e-08
2,sine,4,16,0.0,0.0,0.0,0.0,0.0,0.0,1.5258789e-05,3.0517578e-05,1.5258789e-05,1.5258789e-05,3.0517578e-05,1.5258789e-05,0.0,0.0,3.715579e-08,3.715579e-08
2,impulse,0,16,0.0,0.0,0.0,0.0,0.0,0.0,3.8146973e-06,7.6293945e-06,3.8146973e-06,3.8146973e-06,7.6293945e-06,3.8146973e-06,0.0,0.0,6.310115e-09,6.310115e-09
2,impulse,1,16,0.0,0.0,0.0,0.0,0.0,0.0,1.5258789e-05,3.0517578e-05,1.5258789e-05,1.5258789e-05,3.0517578e-05,1.5258789e-05,0.0,0.0,2.5834531e-08,2.5834531e-08
2,impulse,2,16,0.0,0.0,0.0,0.0,0.0,0.0,1.5258789e-05,3.0517578e-05,1.5258789e-05,1.5258789e-05,3.0517578e-05,1.5258789e-05,0.0,0.0,2.9128193e-08,2.9128193e-08
