Size,Type,FFT Result,FFT Cycles,FFT Time,IFFT Result,IFFT Cycles,IFFT Time
2,Numpy,[ -190.60055006+194.38020058j -1251.18983692-885.49721026j],-1,1.2159347534179688e-05,[-720.89519349-345.55850484j  530.29464343+539.93870542j],-1,3.5762786865234375e-06
2,Normal,[ -190.60058594+194.38021851j -1251.18981934-885.49719238j],820,0.012392520904541016,[-720.89520264-345.55847168j  530.2946167 +539.9387207j ],824,0.011846780776977539
2,Normal2,[ -190.60058594+194.38021851j -1251.18981934-885.49719238j],761,0.010260343551635742,[-720.89520264-345.55847168j  530.2946167 +539.9387207j ],791,0.011902093887329102
2,Vectorized,[1060.5892334+1079.87744141j    0.          +0.j        ],5796,0.030506372451782227,[0.+0.j 0.+0.j],5797,0.028452157974243164
2,Vectorized2,[ -190.60058594+194.38021851j -1251.18981934-885.49719238j],541,0.009688854217529297,[-720.89520264-345.55847168j  530.2946167 +539.9387207j ],557,0.012036800384521484
4,Numpy,"[-1362.30286162+2675.91337371j   727.70609955+1083.24284513j
  -672.41685771 -308.6788289j    387.23958789-1604.43372976j]",-1,1.6689300537109375e-05,"[-229.94350797+461.51091504j -844.3906447 +831.26467857j
 -787.41635169+722.10635736j  499.44764274+661.03142274j]",-1,2.6226043701171875e-06
4,Normal,"[-1362.30285645+2675.91357422j   727.70617676+1083.24267578j
  -672.41687012 -308.67883301j   387.23962402-1604.43359375j]",1659,0.01347661018371582,"[-229.94348145+461.51098633j -844.39050293+831.26464844j
 -787.41638184+722.10644531j  499.44750977+661.03149414j]",1667,0.013585090637207031
4,Normal2,"[-1362.30285645+2675.91357422j   727.70617676+1083.24267578j
  -672.41687012 -308.67883301j   387.23962402-1604.43359375j]",1557,0.016228437423706055,"[-229.94348145+461.51098633j -844.39050293+831.26464844j
 -787.41638184+722.10644531j  499.44750977+661.03149414j]",1615,0.014483451843261719
4,Vectorized,"[-344.94299316+1492.29614258j 1286.86401367  -61.07495117j
 1343.83825684 -170.23321533j  499.44763184 +661.03143311j]",5901,0.027927637100219727,"[ 446.57791138+149.98912048j -211.09765625+207.81616211j
 -196.85409546+180.52659607j  124.86190796+165.25785828j]",5902,0.05190563201904297
4,Vectorized2,"[-1362.30285645+2675.91357422j   727.70617676+1083.24267578j
  -672.41687012 -308.67883301j   387.23962402-1604.43359375j]",611,0.01819634437561035,"[-229.94348145+461.51098633j -844.39050293+831.26464844j
 -787.41638184+722.10644531j  499.44750977+661.03149414j]",627,0.010133981704711914
8,Numpy,"[ 1228.40058374+3502.45788073j -1367.36434376+1253.48737266j
  -267.38182348+1209.61173325j  1705.98604495+1414.38141023j
 -1563.72929894 +795.69404102j -1141.0635921  +992.69829422j
 -4264.94297968 +206.4688129j  -1997.65370915-1588.83814094j]",-1,1.9550323486328125e-05,"[-958.4686398 +973.24517551j -412.23790685+902.9979751j
  222.0442113  +83.16388799j  533.26971856+388.4054821j
 -258.44473979+455.31294147j  859.48464743+773.08327388j
  827.20481069+637.35395591j  415.5484822 -711.10481123j]",-1,2.86102294921875e-06
8,Normal,"[ 1228.40063477+3502.45800781j -1367.36437988+1253.48754883j
  -267.38183594+1209.61169434j  1705.98583984+1414.38098145j
 -1563.72924805 +795.69396973j -1141.06335449 +992.69824219j
 -4264.94287109 +206.46890259j -1997.65380859-1588.83776855j]",3488,0.023160219192504883,"[-958.46862793+973.24517822j -412.237854  +902.99804688j
  222.04425049 +83.16394043j  533.26971436+388.40536499j
 -258.44470215+455.31292725j  859.48455811+773.08325195j
  827.20477295+637.35388184j  415.54852295-711.10449219j]",3504,0.02314591407775879
8,Normal2,"[ 1228.40063477+3502.45800781j -1367.36437988+1253.48754883j
  -267.38183594+1209.61169434j  1705.98583984+1414.38134766j
 -1563.72924805 +795.69396973j -1141.06335449 +992.69824219j
 -4264.94287109 +206.46890259j -1997.65380859-1588.83813477j]",3299,0.021295785903930664,"[-958.46862793+973.24517822j -412.237854  +902.9979248j
  222.04425049 +83.16394043j  533.26971436+388.40548706j
 -258.44470215+455.31292725j  859.48455811+773.08337402j
  827.20477295+637.35388184j  415.54852295-711.10461426j]",3423,0.022377729415893555
8,Vectorized,"[ 1396.06494141+1353.38195801j   480.48895264 -372.14904785j
     0.           +0.j          2679.0246582 +2138.96337891j
 -1396.06494141-1353.38195801j  -172.21240234  +12.19345093j
  -501.5715332 +1998.78063965j -1024.61499023 -864.25543213j]",6020,0.027703285217285156,"[ 245.33578491+114.34405518j  174.50811768+169.17274475j
    0.          +0.j          -24.50727844+934.3182373j
 -245.33578491-114.34405518j -293.81466675+414.91207886j
 -168.26663208-204.33294678j -100.88560486-434.62304688j]",6021,0.030042648315429688
8,Vectorized2,"[ 1228.40063477+3502.45800781j -1367.36437988+1253.48754883j
  -267.38183594+1209.61169434j  1705.98583984+1414.38134766j
 -1563.72924805 +795.69396973j -1141.06335449 +992.69824219j
 -4264.94287109 +206.46890259j -1997.65380859-1588.83813477j]",695,0.011033296585083008,"[-958.46862793+973.24517822j -412.23791504+902.9979248j
  222.04421997 +83.16394043j  533.26971436+388.40548706j
 -258.44470215+455.31292725j  859.48461914+773.08337402j
  827.20483398+637.35388184j  415.54852295-711.10461426j]",711,0.011629104614257812
16,Numpy,"[ -290.44183872-3256.32464176j  4548.00782897-1561.11793086j
 -4510.37601873-1165.06727533j  3930.78480987+3445.79245672j
   238.48052073-2714.28958428j -2766.02296308-2667.89200612j
  -252.63842478-2345.21200798j   494.25076266 -951.6923259j
  2113.44787007+3332.5485626j   3369.45756175+1665.81977027j
   268.164837  +3602.55532531j -2958.58054241 -678.42661467j
   849.27828419-3155.0590242j   2245.21250913+2012.72873804j
 -4064.76027376-2370.52983997j  -169.90395025 +927.69872121j]",-1,2.193450927734375e-05,"[ 190.27256079-367.40422981j  120.73116767-419.20744445j
 -213.77624773+688.07144337j   73.22171811-683.68143982j
  922.76302391+161.57706045j  948.69491432+406.67590282j
   -8.20471944+858.23343167j -872.01242176-522.99948853j
 -896.37819129-641.51808089j -816.46356039-989.81169089j
 -588.47158621 +64.5235624j   859.8672125 +274.64191578j
  511.03381566-600.93592166j -964.12730879-797.57450944j
  994.26435998-124.43530511j -551.85657607-562.47984765j]",-1,5.4836273193359375e-06
